id,date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
BRA,2020-02-05,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-06,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-07,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-08,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-09,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-10,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-11,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-12,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-13,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-14,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-15,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-16,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-17,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-18,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-19,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-02-20,NA,NA,NA,NA,NA,NA,NA,NA,209469333,0,0,0,0,0,0,0,0,1,1,0,5.56,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
